date,PCE Price Index Period Chg,Core PCE (Less Food & Energy) Period Chg
1995-10-01,0.26,0.24
1995-11-01,0.0,0.06
1995-12-01,0.19,0.14
1996-01-01,0.22,0.11
1996-02-01,0.16,0.13
1996-03-01,0.3,0.23
1996-04-01,0.3,0.14
1996-05-01,0.17,0.17
1996-06-01,0.0,0.08
1996-07-01,0.21,0.19
1996-08-01,0.1,0.09
1996-09-01,0.28,0.3
1996-10-01,0.3,0.24
1996-11-01,0.18,0.13
1996-12-01,0.12,0.04
1997-01-01,0.13,0.11
1997-02-01,0.21,0.21
1997-03-01,0.11,0.24
1997-04-01,0.1,0.2
1997-05-01,-0.05,0.07
1997-06-01,0.13,0.15
1997-07-01,0.06,0.07
1997-08-01,0.08,-0.04
1997-09-01,0.24,0.21
1997-10-01,0.13,0.15
1997-11-01,0.01,0.03
1997-12-01,-0.02,0.06
1998-01-01,0.05,0.15
1998-02-01,-0.05,0.09
1998-03-01,0.02,0.11
1998-04-01,0.12,0.18
1998-05-01,0.14,0.1
1998-06-01,-0.08,-0.13
1998-07-01,0.25,0.28
1998-08-01,0.14,0.2
1998-09-01,-0.06,-0.02
1998-10-01,0.22,0.2
1998-11-01,0.0,0.02
1998-12-01,0.1,0.17
1999-01-01,0.14,0.14
1999-02-01,-0.06,-0.03
1999-03-01,0.08,0.03
1999-04-01,0.48,0.26
1999-05-01,0.07,0.1
1999-06-01,0.03,0.05
1999-07-01,0.27,0.18
1999-08-01,0.18,0.05
1999-09-01,0.36,0.26
1999-10-01,0.17,0.17
1999-11-01,0.09,0.1
1999-12-01,0.23,0.13
2000-01-01,0.27,0.24
2000-02-01,0.32,0.15
2000-03-01,0.43,0.21
2000-04-01,-0.08,0.07
2000-05-01,0.08,0.11
2000-06-01,0.34,0.08
2000-07-01,0.25,0.23
2000-08-01,-0.01,0.13
2000-09-01,0.43,0.24
2000-10-01,0.14,0.14
2000-11-01,0.14,0.18
2000-12-01,0.15,0.1
2001-01-01,0.48,0.37
2001-02-01,0.15,0.18
2001-03-01,0.01,0.1
2001-04-01,0.18,0.16
2001-05-01,0.26,0.02
2001-06-01,0.18,0.22
2001-07-01,-0.03,0.26
2001-08-01,-0.01,0.05
2001-09-01,-0.34,-0.57
2001-10-01,0.35,0.7
2001-11-01,-0.07,0.2
2001-12-01,-0.1,0.02
2002-01-01,0.09,0.06
2002-02-01,0.17,0.19
2002-03-01,0.27,0.12
2002-04-01,0.42,0.28
2002-05-01,0.07,0.11
2002-06-01,0.12,0.16
2002-07-01,0.22,0.2
2002-08-01,0.2,0.2
2002-09-01,0.18,0.16
2002-10-01,0.18,0.08
2002-11-01,0.1,0.1
2002-12-01,0.1,0.09
2003-01-01,0.3,0.07
2003-02-01,0.42,0.14
2003-03-01,0.26,0.16
2003-04-01,-0.17,0.11
2003-05-01,-0.11,0.14
2003-06-01,0.11,0.06
2003-07-01,0.29,0.25
2003-08-01,0.34,0.11
2003-09-01,0.31,0.14
2003-10-01,0.01,0.18
2003-11-01,0.13,0.14
2003-12-01,0.22,0.12
2004-01-01,0.39,0.26
2004-02-01,0.21,0.16
2004-03-01,0.15,0.17
2004-04-01,0.19,0.26
2004-05-01,0.33,0.14
2004-06-01,0.29,0.16
2004-07-01,0.09,0.12
2004-08-01,0.05,0.04
2004-09-01,0.2,0.19
2004-10-01,0.43,0.22
2004-11-01,0.39,0.22
2004-12-01,0.05,0.13
2005-01-01,0.13,0.36
2005-02-01,0.28,0.17
2005-03-01,0.3,0.25
2005-04-01,0.28,0.12
2005-05-01,0.06,0.21
2005-06-01,0.06,0.07
2005-07-01,0.42,0.15
2005-08-01,0.4,0.08
2005-09-01,0.97,0.22
2005-10-01,0.16,0.29
2005-11-01,-0.21,0.26
2005-12-01,0.0,0.1
2006-01-01,0.48,0.22
2006-02-01,0.06,0.16
2006-03-01,0.19,0.28
2006-04-01,0.46,0.31
2006-05-01,0.27,0.25
2006-06-01,0.25,0.25
2006-07-01,0.34,0.1
