date,CPI All Urban Consumers Period Chg,CPI Less Food & Energy (Core) Period Chg,CPI Food & Beverages Period Chg,CPI Energy Period Chg,CPI Shelter Period Chg,CPI Medical Care Period Chg,CPI Transportation Period Chg,CPI Apparel Period Chg,CPI Education & Communication Period Chg
1971-05-01,0.5,0.47,0.49,0.38,0.27,0.56,0.0,0.66,
1971-06-01,0.5,0.47,0.48,0.38,1.1,0.56,0.51,0.16,
1971-07-01,0.25,0.23,0.24,0.0,0.27,0.55,0.0,0.16,
1971-08-01,0.25,0.23,0.0,1.9,0.54,0.27,0.25,-0.33,
1971-09-01,0.25,0.0,0.0,0.37,0.54,0.55,-0.5,0.33,
1971-10-01,0.25,0.23,0.24,0.37,0.27,-0.54,0.0,0.16,
1971-11-01,0.24,0.23,0.48,-0.37,0.53,0.27,-0.25,0.16,
1971-12-01,0.24,0.23,0.95,0.37,0.27,0.27,0.0,0.16,
1972-01-01,0.24,0.46,-0.24,0.0,0.53,0.27,0.76,0.16,
1972-02-01,0.49,0.23,0.95,-0.74,0.26,0.27,-0.25,0.32,
1972-03-01,0.0,0.0,0.0,0.37,0.26,0.27,0.0,0.0,
1972-04-01,0.24,0.46,0.0,0.0,0.26,0.27,0.0,0.32,
1972-05-01,0.24,0.23,0.23,0.37,0.26,0.27,0.25,0.16,
1972-06-01,0.24,0.23,0.23,0.0,0.52,0.27,0.0,0.0,
1972-07-01,0.24,0.23,0.7,0.37,0.52,0.0,0.25,0.0,
1972-08-01,0.24,0.45,0.0,0.74,0.52,0.27,0.5,-0.32,
1972-09-01,0.48,0.0,0.93,1.1,0.0,0.0,0.5,0.81,
1972-10-01,0.24,0.23,0.46,0.36,0.26,1.07,-0.25,0.48,
1972-11-01,0.47,0.0,0.46,0.72,0.26,0.0,0.5,0.32,
1972-12-01,0.24,0.45,0.46,-0.36,0.26,0.26,0.25,0.32,
1973-01-01,0.47,0.0,1.59,0.36,0.25,0.26,0.0,0.0,
1973-02-01,0.7,0.45,1.56,1.08,0.25,0.26,0.5,0.32,
1973-03-01,0.93,0.45,2.2,0.35,0.25,0.26,0.25,0.63,
1973-04-01,0.69,0.22,1.51,1.06,0.25,0.26,0.74,0.63,
1973-05-01,0.46,0.44,1.27,0.7,0.5,0.52,0.0,0.31,
1973-06-01,0.68,0.22,1.05,1.39,0.25,0.26,0.49,0.31,
1973-07-01,0.0,0.22,0.21,0.0,0.25,0.0,0.0,0.0,
1973-08-01,1.81,0.44,5.17,0.68,1.0,0.26,0.0,0.46,
1973-09-01,0.44,0.66,0.0,0.0,1.23,0.52,-0.24,0.46,
1973-10-01,0.88,0.65,0.59,3.06,1.46,1.8,0.73,0.31,
1973-11-01,0.66,0.43,1.17,3.96,0.48,0.25,0.97,0.46,
1973-12-01,0.87,0.43,0.97,3.17,0.72,0.5,0.96,0.46,
1974-01-01,1.08,0.43,1.15,4.92,0.71,0.5,1.42,0.45,
1974-02-01,1.07,0.64,2.08,3.81,0.71,0.5,1.4,1.06,
1974-03-01,1.06,0.85,0.93,4.24,0.7,0.99,1.84,0.75,
1974-04-01,0.63,0.63,-0.18,1.9,0.47,0.74,1.13,1.04,
1974-05-01,1.04,1.25,0.74,1.86,0.69,0.98,1.34,0.73,
1974-06-01,0.82,1.03,0.18,0.78,0.92,1.69,1.32,0.73,
1974-07-01,0.61,1.02,-0.18,0.78,1.14,1.19,1.09,0.43,
1974-08-01,1.22,1.41,1.28,0.77,1.13,1.41,0.43,1.87,
1974-09-01,1.4,1.0,1.98,0.26,1.34,1.16,0.86,0.28,
1974-10-01,0.79,0.99,1.06,-0.25,1.1,0.92,0.64,0.28,
1974-11-01,0.98,0.78,1.22,0.51,0.65,0.68,0.63,0.7,
1974-12-01,0.78,0.78,1.21,0.51,1.3,0.9,0.63,0.0,
1975-01-01,0.77,0.58,0.34,1.01,0.85,1.12,0.21,0.14,
1975-02-01,0.57,0.96,0.34,0.75,0.85,1.1,0.62,0.28,
1975-03-01,0.38,0.38,-0.17,0.74,0.42,1.09,0.83,0.14,
1975-04-01,0.38,0.57,-0.17,0.99,0.63,0.86,0.21,0.0,
1975-05-01,0.19,0.38,0.34,0.73,0.21,0.64,0.2,0.14,
1975-06-01,0.75,0.56,1.02,0.97,0.83,0.85,1.02,0.0,
1975-07-01,0.93,0.37,1.68,1.92,0.41,0.84,1.62,0.55,
1975-08-01,0.37,0.37,0.17,0.71,0.2,0.63,0.8,0.0,
1975-09-01,0.74,0.55,0.49,0.93,0.61,0.83,1.58,0.14,
1975-10-01,0.55,0.55,0.98,0.69,0.61,0.82,0.58,0.41,
1975-11-01,0.73,0.73,0.65,0.92,0.81,-0.2,1.35,0.27,
1975-12-01,0.54,0.54,0.48,0.46,0.6,1.02,0.38,0.27,
1976-01-01,0.36,0.72,-0.16,0.91,0.4,0.81,0.76,0.41,
1976-02-01,0.18,0.54,-0.96,-0.22,0.2,1.01,0.57,0.41,
1976-03-01,0.18,0.53,-0.49,-0.68,0.2,1.0,0.94,0.27,
1976-04-01,0.18,0.35,0.0,-0.45,0.0,0.59,0.37,0.13,
1976-05-01,0.53,0.53,0.49,0.46,0.39,0.78,0.56,0.4,
1976-06-01,0.53,0.35,0.16,0.68,0.59,0.78,0.92,0.4,
1976-07-01,0.53,0.7,0.49,0.9,0.78,0.97,0.55,0.53,
1976-08-01,0.53,0.52,0.32,0.89,0.58,0.57,0.54,0.66,
1976-09-01,0.52,0.52,0.48,1.11,0.58,0.76,1.08,0.4,
1976-10-01,0.52,0.52,0.48,0.88,0.19,0.38,1.07,0.13,
1976-11-01,0.35,0.34,0.0,1.52,0.19,1.32,0.71,0.39,
1976-12-01,0.52,0.34,0.16,1.5,0.0,0.56,0.53,0.39,
1977-01-01,0.51,0.68,0.32,1.26,0.95,0.74,0.87,0.52,
1977-02-01,1.02,0.67,1.74,0.0,0.57,0.55,0.69,0.52,
1977-03-01,0.51,0.5,0.47,0.62,0.56,1.09,0.86,-0.13,
1977-04-01,0.67,0.5,1.09,0.41,0.93,0.9,0.51,0.13,
1977-05-01,0.33,0.5,0.46,0.62,0.56,0.89,0.17,0.64,
1977-06-01,0.5,0.66,0.61,0.0,0.74,0.88,0.0,0.51,
1977-07-01,0.5,0.33,0.3,0.41,0.91,0.53,-0.17,0.76,
1977-08-01,0.49,0.49,0.45,0.81,0.54,0.7,-0.17,0.13,
1977-09-01,0.33,0.49,0.3,0.61,0.72,0.87,0.34,-0.13,
