date,Median Household Income (current $) Period Chg,Real Median Household Income (2024 $) Period Chg,Average Hourly Earnings (Total Private) Period Chg,Real Disposable Personal Income Per Capita Period Chg
1991-03-01,,,,0.07
1991-04-01,,,,0.29
1991-05-01,,,,-0.09
1991-06-01,,,,0.4
1991-07-01,,,,-0.32
1991-08-01,,,,0.1
1991-09-01,,,,0.14
1991-10-01,,,,0.02
1991-11-01,,,,0.04
1991-12-01,,,,0.79
1992-01-01,1.69,-0.82,,0.86
1992-02-01,,,,0.34
1992-03-01,,,,-0.02
1992-04-01,,,,0.17
1992-05-01,,,,0.35
1992-06-01,,,,0.29
1992-07-01,,,,-0.2
1992-08-01,,,,0.22
1992-09-01,,,,-0.59
1992-10-01,,,,-0.76
1992-11-01,,,,0.04
1992-12-01,,,,3.46
1993-01-01,1.96,-0.49,,-2.28
1993-02-01,,,,0.39
1993-03-01,,,,-0.4
1993-04-01,,,,0.42
1993-05-01,,,,-0.25
1993-06-01,,,,-0.3
1993-07-01,,,,0.14
1993-08-01,,,,0.03
1993-09-01,,,,-0.39
1993-10-01,,,,-0.59
1993-11-01,,,,0.18
1993-12-01,,,,3.31
1994-01-01,3.27,1.07,,-1.96
1994-02-01,,,,0.1
1994-03-01,,,,0.23
1994-04-01,,,,-0.1
1994-05-01,,,,1.06
1994-06-01,,,,-0.27
1994-07-01,,,,-0.02
1994-08-01,,,,0.01
1994-09-01,,,,0.33
1994-10-01,,,,0.84
1994-11-01,,,,-0.1
1994-12-01,,,,0.36
1995-01-01,5.64,3.17,,0.23
1995-02-01,,,,0.11
1995-03-01,,,,0.18
1995-04-01,,,,-0.83
1995-05-01,,,,0.91
1995-06-01,,,,0.19
1995-07-01,,,,0.11
1995-08-01,,,,-0.05
1995-09-01,,,,0.21
1995-10-01,,,,0.0
1995-11-01,,,,0.18
1995-12-01,,,,0.05
1996-01-01,4.14,1.47,,0.05
1996-02-01,,,,0.69
1996-03-01,,,,0.23
1996-04-01,,,,-0.7
1996-05-01,,,,1.16
1996-06-01,,,,0.49
1996-07-01,,,,-0.38
1996-08-01,,,,0.13
1996-09-01,,,,0.11
1996-10-01,,,,-0.12
1996-11-01,,,,0.16
1996-12-01,,,,0.24
1997-01-01,4.28,2.08,,0.19
1997-02-01,,,,0.18
1997-03-01,,,,0.37
1997-04-01,,,,-0.03
1997-05-01,,,,0.33
1997-06-01,,,,0.21
1997-07-01,,,,0.27
1997-08-01,,,,0.4
1997-09-01,,,,0.15
1997-10-01,,,,0.39
1997-11-01,,,,0.56
1997-12-01,,,,0.49
1998-01-01,5.08,3.66,,0.79
1998-02-01,,,,0.57
1998-03-01,,,,0.5
1998-04-01,,,,0.23
1998-05-01,,,,0.32
1998-06-01,,,,0.47
1998-07-01,,,,0.07
1998-08-01,,,,0.21
1998-09-01,,,,0.18
1998-10-01,,,,0.03
1998-11-01,,,,0.3
1998-12-01,,,,0.09
1999-01-01,4.65,2.54,,0.47
1999-02-01,,,,0.26
1999-03-01,,,,0.0
1999-04-01,,,,-0.42
1999-05-01,,,,0.07
1999-06-01,,,,0.24
1999-07-01,,,,0.08
1999-08-01,,,,0.31
1999-09-01,,,,-0.24
1999-10-01,,,,0.44
1999-11-01,,,,0.55
1999-12-01,,,,0.69
2000-01-01,3.17,-0.26,,0.57
2000-02-01,,,,0.31
2000-03-01,,,,0.18
2000-04-01,,,,0.42
2000-05-01,,,,0.33
2000-06-01,,,,0.19
2000-07-01,,,,0.45
2000-08-01,,,,0.53
2000-09-01,,,,0.03
2000-10-01,,,,0.2
2000-11-01,,,,-0.04
2000-12-01,,,,0.12
2001-01-01,0.57,-1.64,,0.39
2001-02-01,,,,0.04
2001-03-01,,,,0.23
2001-04-01,,,,-0.29
2001-05-01,,,,-0.26
2001-06-01,,,,-0.05
2001-07-01,,,,1.41
2001-08-01,,,,1.57
2001-09-01,,,,-0.94
2001-10-01,,,,-1.86
2001-11-01,,,,0.04
2001-12-01,,,,0.11
2002-01-01,0.43,-0.81,,2.02
2002-02-01,,,,0.09
2002-03-01,,,,0.0
2002-04-01,,,,0.26
2002-05-01,,,,0.32
2002-06-01,,,,0.21
2002-07-01,,,,-0.34
2002-08-01,,,,-0.07
2002-09-01,,,,0.01
2002-10-01,,,,0.18
2002-11-01,,,,0.2
2002-12-01,,,,0.2
2003-01-01,2.15,0.06,,-0.16
2003-02-01,,,,-0.41
2003-03-01,,,,0.14
2003-04-01,,,,0.45
2003-05-01,,,,0.66
2003-06-01,,,,0.18
