date,CPI All Urban Consumers YoY %,CPI Less Food & Energy (Core) YoY %,CPI Food & Beverages YoY %,CPI Energy YoY %,CPI Shelter YoY %,CPI Medical Care YoY %,CPI Transportation YoY %,CPI Apparel YoY %,CPI Education & Communication YoY %
1966-03-01,2.7787,1.5337,,2.6549,1.8587,3.2,0.9434,2.1053,
1966-04-01,2.8681,1.8349,,1.31,2.6022,3.6,0.9404,2.3109,
1966-05-01,2.7637,2.1407,,0.8696,2.974,3.5857,0.3125,2.3061,
1966-06-01,2.4359,2.4465,,0.8658,3.7175,3.9841,0.9404,2.3013,
1966-07-01,2.7549,2.7523,,1.7391,3.3333,3.9526,1.8809,2.935,
1966-08-01,3.4865,3.0581,,1.3043,3.3333,4.3478,2.1944,2.7197,
1966-09-01,3.5737,3.0488,,1.2987,3.7037,5.5336,2.1944,3.3473,
1966-10-01,3.7915,3.6585,,1.7391,4.059,5.9055,2.8302,3.5491,
1966-11-01,3.5591,3.3435,,1.7316,3.6765,6.2745,2.8213,3.5417,
1966-12-01,3.3595,3.3333,,1.7316,4.0441,6.6667,1.875,3.7422,
1967-01-01,3.1995,3.6364,,2.1645,4.0293,7.0312,2.1944,3.7267,
1967-02-01,2.8678,3.3233,,2.1552,4.3956,7.4219,2.5,3.9256,
1967-03-01,2.5482,3.6254,,1.7241,3.6496,6.9767,2.1807,3.9175,
1967-04-01,2.5403,3.3033,,3.0172,3.2609,7.3359,2.4845,3.9014,
1967-05-01,2.3184,3.2934,,3.0172,3.2491,7.3077,3.1153,3.8934,
1967-06-01,2.8413,3.2836,,2.1459,2.8674,7.6628,2.795,4.09,
1967-07-01,2.9276,3.2738,,1.7094,3.2258,7.2243,2.4615,4.0733,
1967-08-01,2.6034,3.5608,,2.5751,3.5842,7.197,2.454,4.4807,
1967-09-01,2.5954,3.5503,,2.5641,3.2143,6.7416,3.3742,3.8462,
1967-10-01,2.5875,3.2353,,2.1368,2.8369,6.6914,2.7523,3.8306,
1967-11-01,3.1022,3.5294,,2.1277,3.1915,6.2731,3.3537,3.8229,
1967-12-01,3.2807,3.8123,,1.7021,3.1802,6.6176,3.9877,4.008,
1968-01-01,3.6474,3.8012,2.0115,1.6949,3.169,6.2044,4.6012,3.992,
1968-02-01,3.6364,4.386,2.8818,1.6878,3.1579,6.1818,4.2683,4.175,
1968-03-01,3.9394,4.3732,3.17,2.1186,3.8732,6.5217,4.2683,4.5635,
1968-04-01,3.9275,4.3605,4.0462,0.4184,3.8596,6.1151,3.3333,4.7431,
1968-05-01,4.2296,4.3478,4.3353,0.8368,3.4965,6.0932,3.0211,5.1282,
1968-06-01,4.2042,4.6243,3.4384,1.6807,4.5296,5.694,3.6254,5.1081,
1968-07-01,4.491,4.8991,3.4286,1.6807,5.2083,6.0284,3.003,5.4795,
1968-08-01,4.4776,4.5845,3.125,1.6736,5.5363,6.0071,2.994,5.653,
1968-09-01,4.4643,4.8571,3.6932,1.25,5.5363,5.9649,2.0772,6.2378,
1968-10-01,4.7478,5.1282,4.2493,1.6736,5.8621,5.9233,2.6786,6.4078,
1968-11-01,4.4248,5.3977,3.9548,1.6667,6.1856,6.25,2.3599,6.3953,
1968-12-01,4.7059,5.0847,4.2254,1.6736,6.5068,6.2069,1.7699,6.3584,
1969-01-01,4.6921,5.0704,4.2254,1.6667,6.8259,6.1856,1.7595,6.5259,
1969-02-01,4.6784,5.3221,3.6415,1.2448,6.8027,6.8493,2.924,6.2977,
1969-03-01,5.2478,5.5866,3.6313,2.4896,7.7966,6.8027,4.6784,6.0721,
1969-04-01,5.5233,6.1281,3.8889,3.75,8.4459,7.1186,4.9853,6.0377,
1969-05-01,5.5072,5.8333,4.1551,2.9046,9.1216,7.4324,4.1056,5.8161,
1969-06-01,5.4755,5.8011,5.2632,3.3058,8.0,7.4074,3.7901,5.9813,
1969-07-01,5.4441,5.7692,5.5249,2.8926,7.9208,7.3579,3.7901,5.7514,
1969-08-01,5.4286,6.0274,5.7851,2.4691,7.8689,7.3333,3.7791,5.1661,
1969-09-01,5.698,5.9946,5.7534,2.8807,8.8525,7.6159,3.4884,5.3211,
1969-10-01,5.6657,5.9621,5.163,2.8807,8.7948,6.25,4.058,5.1095,
1969-11-01,5.9322,5.6604,6.25,2.459,8.7379,6.2092,3.7464,5.4645,
1969-12-01,5.8989,5.914,6.7568,3.2922,8.6817,5.8442,4.9275,5.0725,
1970-01-01,6.1625,6.1662,7.027,2.8689,8.6262,6.1489,5.4755,4.8649,
1970-02-01,6.4246,5.8511,7.5676,2.8689,9.5541,5.7692,4.2614,5.0269,
1970-03-01,6.0942,6.0847,7.2776,1.2146,9.434,5.7325,2.2346,4.6512,
1970-04-01,6.0606,6.0367,6.6845,2.4096,9.0343,6.0127,3.6313,4.4484,
1970-05-01,6.044,6.2992,6.6489,2.4194,9.2879,5.9748,4.7887,4.2553,
1970-06-01,6.0109,6.5274,5.5263,1.2,9.5679,6.2696,5.0562,4.0564,
1970-07-01,5.7065,6.2338,5.2356,2.4096,8.8685,6.2305,5.618,3.6842,
1970-08-01,5.6911,6.2016,4.6875,2.008,9.1185,6.5217,5.042,4.0351,
1970-09-01,5.6604,6.1697,4.6632,2.4,9.0361,6.1538,5.8989,3.8328,
1970-10-01,5.63,6.1381,4.6512,3.6,8.6826,7.1207,6.1281,3.8194,
1970-11-01,5.6,6.6327,3.3248,4.0,8.631,7.0769,6.9444,3.7997,
1970-12-01,5.5703,6.599,2.5316,4.3825,8.8757,7.6687,7.4586,3.9655,
1971-01-01,5.277,6.3131,2.2727,4.7809,8.2353,7.3171,7.1038,3.7801,
1971-02-01,4.7244,6.0302,1.7588,4.3825,6.3953,7.2727,7.3569,3.5897,
1971-03-01,4.4386,5.2369,2.7638,4.8,4.5977,7.2289,7.6503,3.5897,
1971-04-01,4.1558,4.9505,3.0075,2.3529,4.0,6.8657,6.1995,3.4072,
1971-05-01,4.4041,5.1852,2.9925,3.1496,3.3994,6.8249,5.914,3.9116,
1971-06-01,4.3814,4.902,3.4913,3.9526,3.9437,6.7847,5.8824,3.7288,
1971-07-01,4.3702,4.89,3.4826,3.1373,3.9326,6.7449,5.3191,3.7225,
1971-08-01,4.359,4.6229,3.4826,5.5118,3.6212,6.414,5.8667,3.0354,
1971-09-01,4.0816,4.1162,2.9703,5.0781,3.3149,6.3768,4.7745,2.8523,
1971-10-01,3.8071,3.8554,2.963,4.2471,3.3058,5.4913,3.6745,2.6756,
1971-11-01,3.5354,3.3493,3.7129,3.4615,3.2877,5.1724,2.3377,2.3295,
1971-12-01,3.2663,3.0952,4.4444,3.0534,2.7174,4.5584,1.2853,2.1559,
1972-01-01,3.2581,3.3254,4.1975,2.6616,3.2609,4.5455,1.2755,2.1523,
1972-02-01,3.7594,3.3175,5.1852,2.2901,4.0984,4.2373,0.5076,2.1452,
1972-03-01,3.5,3.3175,4.1565,2.6718,4.9451,3.9326,0.5076,2.1452,
1972-04-01,3.4913,3.3019,3.6496,3.0651,5.2198,3.6313,0.5076,2.3064,
1972-05-01,3.2258,3.0516,3.3898,3.0534,5.2055,3.3333,0.7614,1.8003,
1972-06-01,2.963,2.8037,3.1325,2.6616,4.607,3.0387,0.2525,1.634,
1972-07-01,2.9557,2.7972,3.6058,3.0418,4.8649,2.4725,0.5051,1.4682,
1972-08-01,2.9484,3.0233,3.6058,1.8657,4.8387,2.4658,0.7557,1.473,
1972-09-01,3.1863,3.0233,4.5673,2.6022,4.2781,1.9074,1.7722,1.9576,
1972-10-01,3.1785,3.0162,4.7962,2.5926,4.2667,3.5616,1.519,2.2801,
1972-11-01,3.4146,2.7778,4.7733,3.7175,3.9788,3.2787,2.2843,2.439,
1972-12-01,3.4063,3.0023,4.2553,2.963,3.9683,3.2698,2.5381,2.5974,
1973-01-01,3.6408,2.5287,6.1611,3.3333,3.6842,3.2609,1.7632,2.4311,
1973-02-01,3.8647,2.7523,6.8075,5.2239,3.6745,3.252,2.5253,2.4233,
1973-03-01,4.8309,3.211,9.1549,5.2045,3.6649,3.2432,2.7778,3.0695,
1973-04-01,5.3012,2.968,10.7981,6.3197,3.6554,3.2345,3.5354,3.3816,
1973-05-01,5.5288,3.1891,11.9438,6.6667,3.9062,3.4946,3.2746,3.537,
1973-06-01,5.9952,3.1818,12.8505,8.1481,3.6269,3.4853,3.7783,3.8585,
1973-07-01,5.7416,3.1746,12.297,7.7491,3.3505,3.4853,3.5176,3.8585,
