date,Pending Sales (Redfin),Homes Sold (Redfin),New Listings (Redfin),Active Inventory (Redfin),Months of Supply (Redfin),Median Days on Market (Redfin),Sale-to-List Ratio (Redfin),Price Drop Share (Redfin),Median Sale Price (Redfin),Off Market in Two Weeks (Redfin),Pending Sales SA (Redfin),Homes Sold SA (Redfin),New Listings SA (Redfin),Active Inventory SA (Redfin)
2020-01-31,550363.0,381704.0,536993.0,1327520.0,3.477874992,60.0,0.9768599905,0.1209599401,288645.0,0.3055789755,661599.41300138,549395.009013435,629117.446262719,1504034.40161949
2020-02-29,615721.0,409011.0,589508.0,1357737.0,3.319558456,58.0,0.9803679188,0.1048048685,292523.0,0.3864993621,689475.612315464,554178.103991624,651665.582276422,1506727.32160883
2020-03-31,618150.0,511141.0,672162.0,1400677.0,2.740292921,47.0,0.9853529792,0.1061317515,302201.0,0.4574294218,558185.056526198,533340.914081735,594903.322316526,1498787.25219858
2020-04-30,470444.0,439766.0,477503.0,1369304.0,3.113711855,40.0,0.9874927584,0.1004635354,302718.0,0.3720508086,415795.780005058,428113.200793412,397910.12712865,1380348.11501786
2020-05-31,685631.0,425895.0,642180.0,1365639.0,3.20651581,40.0,0.9848656438,0.1164325361,298263.0,0.4032345918,587968.638278799,386492.615994199,537758.741240846,1307621.14939854
2020-06-30,832813.0,592832.0,720874.0,1305235.0,2.201695352,41.0,0.9865517512,0.1154934617,309634.0,0.4282813869,707307.438922489,471293.027892247,587698.145850032,1203154.18598093
2020-07-31,826871.0,708988.0,762140.0,1269794.0,1.790995972,37.0,0.9900519139,0.1139340605,322027.0,0.4516041995,734809.083560274,589645.266480145,639785.119136977,1125596.43261861
2020-08-31,807310.0,672043.0,720910.0,1222320.0,1.818810935,34.0,0.9921124713,0.1252235426,327666.0,0.476034566,744508.040779305,611267.012897266,684016.215351146,1099959.20602763
2020-09-30,756477.0,669519.0,705653.0,1199120.0,1.791017376,32.0,0.9937147273,0.1120805632,331067.0,0.4767617979,749322.426749935,637325.136664338,690168.421588277,1074333.66060788
2020-10-31,733721.0,681383.0,689566.0,1162477.0,1.706053729,31.0,0.9946249644,0.1171279379,333344.0,0.4759276428,741631.327624225,658554.836725399,701608.935850366,1066637.92627669
2020-11-30,600626.0,588045.0,487910.0,1037706.0,1.764672137,30.0,0.9953147714,0.1166732584,333316.0,0.4464892003,720517.962142351,655769.760251862,671702.93539425,1056050.25523102
2020-12-31,518769.0,633033.0,397162.0,871826.0,1.377219788,33.0,0.9937544922,0.07922118097,333413.0,0.4017414337,722082.951245851,657345.991755347,713646.265363781,1054639.06056069
2021-01-31,574097.0,434642.0,499902.0,822929.0,1.893346593,37.0,0.9932503761,0.08210126343,330794.0,0.4540106251,702572.608830316,673307.324748557,624207.758677446,1000395.612615
2021-02-28,575731.0,440669.0,510015.0,783548.0,1.778085505,36.0,0.9976076194,0.06163755418,336166.0,0.5343747761,660786.289770604,591774.104489689,576131.56795829,936918.625572822
2021-03-31,737053.0,591701.0,705497.0,786353.0,1.32896987,29.0,1.005789822,0.06820300105,353700.0,0.616683288,663649.09569259,590790.377349629,623605.502679921,890417.370842086
2021-04-30,727268.0,624862.0,765137.0,847733.0,1.356672357,22.0,1.015394784,0.06266943528,368455.0,0.6328924386,646931.434383428,588867.209401901,622645.366662,857855.825538714
2021-05-31,748903.0,631902.0,746596.0,867452.0,1.37276254,19.0,1.021932282,0.0684151746,376759.0,0.653398834,656431.28982389,584887.254375932,629172.230572885,817241.827960469
2021-06-30,764636.0,729637.0,814485.0,934664.0,1.280998431,17.0,1.025319412,0.08669080234,386834.0,0.6285801424,662517.255978439,592452.785802064,663439.011825292,830158.404614712
2021-07-31,724268.0,679927.0,799710.0,1030533.0,1.515651887,17.0,1.022619616,0.1074863253,384939.0,0.5799206566,660171.39788306,592147.347655728,684146.951002225,887151.812637269
2021-08-31,754622.0,673433.0,725221.0,1021179.0,1.516378565,19.0,1.016160196,0.1193503107,380694.0,0.5508557293,679248.530168193,591937.78296189,674510.846267061,903027.51512765
2021-09-30,689424.0,640356.0,684004.0,1025971.0,1.602187804,21.0,1.010315307,0.1203758224,376899.0,0.515759919,691719.075439107,610168.004773319,657658.569136473,893460.362407893
2021-10-31,690152.0,614711.0,627945.0,973763.0,1.584097456,24.0,1.007527913,0.1142252021,379752.0,0.5076599933,708060.99815745,619313.594226097,664641.970369335,879651.06635474
2021-11-30,614962.0,593962.0,494601.0,846757.0,1.425608105,25.0,1.006286008,0.09563433267,383799.0,0.4873808643,710927.296867083,635553.67662641,663585.316532794,866249.909191761
2021-12-31,488501.0,599533.0,371187.0,695450.0,1.159986553,27.0,1.004845402,0.06967092762,382860.0,0.4332604023,673100.130132744,610118.668869111,660993.161521849,871334.697529753
2022-01-31,520883.0,417709.0,463287.0,671980.0,1.608727249,30.0,1.004070209,0.06631445623,376745.0,0.4978652535,632237.03695868,657293.372288762,583528.324456577,851895.976148909
2022-02-28,536763.0,422035.0,517427.0,692694.0,1.641316776,28.0,1.01243024,0.05371147786,389572.0,0.5986255139,606642.065147277,561338.931187715,586433.994891264,845726.62082187
2022-03-31,662884.0,555456.0,692917.0,752964.0,1.355579442,23.0,1.024065996,0.06252599874,412750.0,0.6398338758,597525.160928259,552169.38448589,594729.391183154,846762.385644835
2022-04-30,647685.0,557836.0,722471.0,855670.0,1.533908936,20.0,1.031172106,0.07284933834,425472.0,0.649675976,580918.230028417,543368.36886426,620198.049891161,875446.202404877
2022-05-31,681152.0,596217.0,772107.0,974539.0,1.634536739,19.0,1.030831115,0.103198938,431801.0,0.636482832,581100.559262615,527235.788214415,634669.41314086,930204.040920158
2022-06-30,635729.0,620833.0,821011.0,1162437.0,1.872384325,21.0,1.022500129,0.1521258491,428903.0,0.5525296034,559706.697392148,506282.545615454,656484.553668034,1052158.65476505
2022-07-31,585891.0,531088.0,703699.0,1271430.0,2.394011437,24.0,1.01018236,0.1837454892,413365.0,0.4601550958,543999.228546379,484441.222545632,627332.744125358,1132790.57429695
2022-08-31,616176.0,559316.0,622013.0,1254080.0,2.242166645,28.0,0.9988486713,0.1948097088,407260.0,0.4052361598,550770.076421529,475534.005856149,566902.033167095,1137672.58469526
2022-09-30,513284.0,503862.0,570329.0,1271981.0,2.524463709,34.0,0.9924949513,0.1982382033,404879.0,0.3790748368,514650.79110763,468279.953110439,542716.894353643,1139608.44269475
2022-10-31,459449.0,441686.0,495097.0,1248836.0,2.827427192,37.0,0.9887068938,0.2108969676,398325.0,0.3643178447,485412.499919924,455970.347951562,527358.058517571,1158367.11629784
2022-11-30,399364.0,388045.0,384327.0,1165117.0,3.002534429,40.0,0.9846759055,0.1898776885,392608.0,0.3115201767,472571.568271478,424322.262573208,515036.419252957,1177388.87899549
2022-12-31,344470.0,388492.0,277981.0,1012873.0,2.607192633,47.0,0.9807885029,0.1352605419,387653.0,0.2628557995,484276.958776688,413179.796694549,504133.945216967,1186195.40574839
2023-01-31,435680.0,281398.0,396707.0,976827.0,3.471340523,53.0,0.9783761663,0.1626602666,381920.0,0.312013357,509686.829659924,425529.498158537,488897.07312238,1157179.09900781
2023-02-28,461073.0,333601.0,413527.0,941743.0,2.822963322,54.0,0.9821191127,0.1285145155,387132.0,0.3878405331,510483.13722736,440540.570686418,469272.144891269,1093704.19748158
2023-03-31,547231.0,453649.0,551392.0,953795.0,2.102494711,45.0,0.988556854,0.1325681383,400189.0,0.4419484113,487492.841256284,436741.734179773,470027.540032587,1043336.52890484
