date,Unemployment Rate Period %,U-1 Unemployed 15+ Weeks as % of Labor Force Period %,U-2 Job Losers as % of Labor Force Period %,U-4 + Discouraged Workers Period %,U-5 + Other Marginally Attached Period %,U-6 + Part-Time for Economic Reasons Period %,Unemployed Less Than 5 Weeks (000s) Period %,Unemployed 5-14 Weeks (000s) Period %,Unemployed 15-26 Weeks (000s) Period %,Unemployed 27+ Weeks (000s) Period %,Total Unemployed (000s) Period %,Median Duration of Unemployment (Weeks) Period %,Average Duration of Unemployment (Weeks) Period %
1956-06-01,0.0,0.0,,,,,1.4835,5.3377,8.1967,-7.4627,0.734,,-2.8846
1956-07-01,2.3256,0.0,,,,,-2.392,-6.3082,-3.9394,10.7527,2.4289,,3.9604
1956-08-01,-6.8182,0.0,,,,,-6.3308,-13.245,-2.8391,14.0777,-8.5027,,14.2857
1956-09-01,-4.878,12.5,,,,,-1.4535,-7.6336,8.7662,2.9787,-2.4435,,-1.6667
1956-10-01,0.0,-11.1111,,,,,-2.7286,2.2039,-15.5224,2.0661,-2.4288,,-1.6949
1956-11-01,10.2564,12.5,,,,,12.282,1.2129,19.4346,-4.0486,11.2797,,-6.0345
1956-12-01,-2.3256,0.0,,,,,-2.3633,5.1931,-8.8757,9.2827,-2.4816,,4.5872
1957-01-01,0.0,-11.1111,,,,,-5.0484,8.481,7.4675,-31.2741,0.2151,,-8.7719
1957-02-01,-7.1429,0.0,,,,,-5.8267,-7.4679,-7.855,26.4045,-6.2232,,2.8846
1957-03-01,-5.1282,0.0,,,,,-4.0217,-1.0088,-2.9508,-3.1111,-4.3097,,0.9346
1957-04-01,5.4054,0.0,,,,,7.5745,-5.9873,-4.3919,6.8807,3.6269,,-1.8519
1957-05-01,5.1282,0.0,,,,,6.5918,5.1491,5.6537,2.5751,4.2308,,-1.8868
1957-06-01,4.878,0.0,,,,,-2.1785,29.8969,-11.0368,8.7866,5.3875,,-1.9231
1957-07-01,-2.3256,0.0,,,,,-1.8678,-13.5913,5.6391,-2.3077,-2.1008,,-0.9804
1957-08-01,-2.381,0.0,,,,,2.123,-7.0034,10.3203,-8.6614,-1.7525,,3.9604
1957-09-01,7.3171,0.0,,,,,6.3799,14.1975,9.0323,-4.7414,7.1351,,-6.6667
1957-10-01,2.2727,25.0,,,,,-5.7278,8.1081,5.6213,32.5792,2.6164,,13.2653
1957-11-01,13.3333,0.0,,,,,14.2244,11.3,11.2045,-5.4608,14.3709,,-6.3063
1957-12-01,1.9608,10.0,,,,,-0.8135,6.9182,18.6398,-6.1372,0.6369,,0.0
1958-01-01,11.5385,18.1818,,,,,7.3186,7.395,23.3546,14.6154,11.4787,,0.9615
1958-02-01,10.3448,15.3846,,,,,10.6996,11.8153,13.0809,16.7785,11.0452,,4.7619
1958-03-01,4.6875,13.3333,,,,,2.6553,3.7789,18.1126,1.1494,4.3923,,1.8182
1958-04-01,10.4478,23.5294,,,,,-2.6901,7.0802,12.8866,45.1705,11.6652,,8.0357
1958-05-01,0.0,4.7619,,,,,-1.3822,0.1259,5.2511,11.7417,0.0997,,8.2645
1958-06-01,-1.3514,13.6364,,,,,-5.3908,-3.3962,5.2061,23.8179,-1.5336,,9.9237
1958-07-01,2.7397,4.0,,,,,3.5897,-6.7057,-1.2371,18.529,2.7306,,1.3889
1958-08-01,-1.3333,7.6923,,,,,-3.1903,-1.8144,-3.3403,14.7971,-1.0632,,7.5342
1958-09-01,-4.0541,-7.1429,,,,,-7.6136,5.7569,-15.9827,5.7173,-4.0597,,5.0955
1958-10-01,-5.6338,-3.8462,,,,,1.0455,-16.7339,0.0,-8.5546,-5.2064,,0.0
1958-11-01,-7.4627,-8.0,,,,,-6.8168,-8.7974,-4.2416,-11.2903,-8.3589,,-0.6061
1958-12-01,0.0,-4.3478,,,,,10.516,0.4425,-11.0067,0.2424,0.0716,,-4.2683
1959-01-01,-3.2258,-4.5455,,,,,-6.974,2.9956,-10.4072,-3.023,-2.9349,,3.8217
1959-02-01,-1.6667,-9.5238,,,,,-1.2706,-0.4277,-8.2492,-8.7282,-2.532,,-4.908
1959-03-01,-5.0847,-5.2632,,,,,-6.1133,-6.0997,-2.7523,-7.1038,-4.1362,,-1.2903
1959-04-01,-7.1429,-16.6667,,,,,2.3989,-14.5471,-23.0189,-7.2059,-6.051,,-2.6144
1959-05-01,-1.9231,-6.6667,,,,,-1.004,7.6017,-4.4118,-8.8748,-2.5763,,-1.3423
1959-06-01,-1.9608,0.0,,,,,2.9074,-4.1791,6.4103,-4.6957,-1.4372,,1.3605
1959-07-01,2.0,-7.1429,,,,,4.5335,8.7227,-5.0602,-9.6715,2.8871,,-4.0268
1959-08-01,1.9608,0.0,,,,,1.0057,6.3037,3.2995,-2.6263,1.7007,,-4.1958
1959-09-01,5.7692,0.0,,,,,-0.3111,14.5553,10.3194,-7.4689,5.2118,,0.0
1959-10-01,3.6364,0.0,,,,,9.2385,1.3333,-2.8953,0.2242,3.5762,,-5.8394
1959-11-01,1.7544,7.6923,,,,,-0.2857,-6.7337,15.8257,6.7114,2.3785,,1.5504
1959-12-01,-8.6207,-7.1429,,,,,-5.043,-6.888,-10.297,-2.0964,-8.7434,,0.0
1960-01-01,-1.8868,0.0,,,,,-1.1467,-6.8627,-0.6623,-0.4283,-1.0402,,3.0534
1960-02-01,-7.6923,-7.6923,,,,,-12.6374,-1.0526,-8.4444,-7.7419,-7.9115,,-2.963
1960-03-01,12.5,16.6667,,,,,16.4221,8.3172,25.9709,2.5641,11.9255,,-0.7634
1960-04-01,-3.7037,-7.1429,,,,,4.1417,-10.5357,-10.4046,-2.0455,-2.8449,,-3.0769
1960-05-01,-1.9231,-15.3846,,,,,-0.9798,7.1856,-12.2581,-9.7448,-1.4088,,-5.5556
1960-06-01,5.8824,9.0909,,,,,1.1641,10.0559,12.2549,1.7995,5.5198,,0.0
1960-07-01,1.8519,8.3333,,,,,-1.6686,0.1692,13.7555,1.0101,1.8587,,5.8824
1960-08-01,1.8182,0.0,,,,,2.165,8.6993,-0.7678,2.5,2.8676,,-3.1746
1960-09-01,-1.7857,7.6923,,,,,-3.9519,-5.7498,-0.1934,13.6585,-1.5712,,5.7377
1960-10-01,10.9091,21.4286,,,,,5.3071,5.6884,20.7364,21.4592,9.4748,,4.6512
1960-11-01,0.0,0.0,,,,,-2.718,6.6303,8.0257,-2.8269,1.8344,,2.963
1960-12-01,8.1967,-5.8824,,,,,22.3516,7.3884,-12.63,0.7273,6.6282,,-10.7914
1961-01-01,0.0,18.75,,,,,-10.3711,0.6131,17.0068,15.5235,1.1696,,10.4839
1961-02-01,4.5455,5.2632,,,,,8.121,-4.7393,9.157,3.9062,3.4468,,-0.7299
1961-03-01,0.0,5.0,,,,,-8.542,4.9041,2.3968,4.3609,0.4346,,3.6765
1961-04-01,1.4493,9.5238,,,,,-7.1927,-3.3198,3.5111,15.562,0.8242,,9.9291
1961-05-01,1.4286,4.3478,,,,,1.0989,0.3504,3.8945,7.1072,2.2481,,0.6452
1961-06-01,-2.8169,-4.1667,,,,,5.3204,-0.9078,-12.5756,8.0326,-2.3586,,3.8462
1961-07-01,1.4493,13.0435,,,,,-2.8246,-4.4397,16.0443,6.7888,0.8802,,6.7901
1961-08-01,-5.7143,-11.5385,,,,,-4.9189,2.2861,-10.7271,-9.1826,-4.9919,,-1.7341
1961-09-01,1.5152,-4.3478,,,,,9.2887,-6.4888,-8.4112,-6.1111,-0.1282,,-5.2941
1961-10-01,-2.9851,-4.5455,,,,,-2.582,-0.6939,-3.9359,-2.7219,-2.2027,,-1.2422
1961-11-01,-6.1538,-4.7619,,,,,-9.5527,-1.4752,-5.6146,-6.8127,-6.0792,,6.9182
1961-12-01,-1.6393,-5.0,,,,,5.8608,-7.4074,0.1608,-3.6554,-2.7474,,-7.0588
1962-01-01,-3.3333,-5.2632,,,,,-1.9031,-1.1915,-9.9518,-8.6721,-2.2983,,-3.1646
1962-02-01,-5.1724,0.0,,,,,-11.5814,-3.7037,0.0,1.3353,-5.1458,,4.5752
1962-03-01,1.8182,-5.5556,,,,,14.4282,-6.1717,-6.7736,-6.4422,1.2917,,-6.25
1962-04-01,0.0,-5.8824,,,,,-5.3457,5.3384,-4.5889,-2.5039,-0.3826,,-0.6667
1962-05-01,-1.7857,0.0,,,,,-5.2793,2.3529,1.6032,0.6421,-1.1009,,4.0268
1962-06-01,0.0,-6.25,,,,,3.5645,-2.6525,-0.1972,-8.6124,-0.4918,,-2.5806
1962-07-01,-1.8182,0.0,,,,,-0.3755,3.7239,-4.3478,-1.3962,-0.6504,,-3.3113
1962-08-01,5.5556,0.0,,,,,8.7312,8.4063,0.2066,5.4867,5.0799,,-0.6849
1962-09-01,-1.7544,0.0,,,,,1.0399,-3.7157,16.9072,-11.2416,-1.2958,,-2.7586
1962-10-01,-3.5714,-6.6667,,,,,-6.4608,-4.0268,-8.9947,-4.3478,-3.9889,,0.0
1962-11-01,5.5556,7.1429,,,,,12.3472,-5.9441,18.4109,-13.0435,5.8112,,-5.6738
1962-12-01,-3.5088,0.0,,,,,-5.7671,8.829,-8.6743,15.9091,-2.9076,,2.2556
1963-01-01,3.6364,6.6667,,,,,-0.1155,7.0026,3.5842,6.6667,4.2744,,1.4706
1963-02-01,3.5088,0.0,,,,,7.3988,2.3943,-6.5744,9.7426,4.0255,,2.1739
1963-03-01,-3.3898,-6.25,,,,,-8.4499,-1.325,-9.6296,0.335,-3.9169,,2.8369
1963-04-01,0.0,0.0,,,,,0.9406,-3.1596,-1.6393,-1.3356,-0.4175,,0.0
1963-05-01,3.5088,6.6667,,,,,8.9109,-5.3834,15.0,2.3689,3.9951,,0.0
1963-06-01,-5.0847,-6.25,,,,,-8.0749,8.5345,2.7174,-17.3554,-5.6912,,-3.4483
1963-07-01,0.0,0.0,,,,,-1.5125,2.3828,-7.9365,9.6,1.8607,,0.0
1963-08-01,-3.5714,6.6667,,,,,-0.9451,-10.7836,13.6015,-4.927,-4.2706,,-0.7143
1963-09-01,1.8519,-6.25,,,,,1.0733,6.5217,-13.9966,7.2937,2.0371,,2.1583
1963-10-01,0.0,0.0,,,,,2.5369,-5.0612,6.0784,-5.1878,0.7582,,-2.1127
1963-11-01,3.6364,0.0,,,,,6.962,5.503,-1.4787,-1.6981,4.1134,,-4.3165
1963-12-01,-3.5088,-6.6667,,,,,-4.5724,-1.141,-3.0019,-5.9501,-4.2399,,0.0
1964-01-01,1.8182,7.1429,,,,,1.7475,-4.6991,6.9632,2.8571,1.3585,,1.5038
1964-02-01,-3.5714,-6.6667,,,,,-5.374,5.1903,-4.5208,-3.373,-2.4075,,-2.2222
1964-03-01,0.0,0.0,,,,,4.3911,-7.5658,1.1364,3.6961,0.4578,,2.2727
1964-04-01,-1.8519,-7.1429,,,,,-0.8974,6.0498,-13.1086,-6.9307,-0.8101,,-8.1481
1964-05-01,-3.7736,0.0,,,,,-4.867,-8.2215,1.5086,7.234,-3.9306,,9.6774
1964-06-01,1.9608,7.6923,,,,,2.2606,1.3711,14.4374,0.7937,1.3284,,0.0
1964-07-01,-5.7692,0.0,,,,,-13.5544,0.2705,-11.1317,2.9528,-5.4012,,8.0882
1964-08-01,2.0408,-7.1429,,,,,14.1319,-3.4173,-11.0647,-2.8681,1.3027,,-11.5646
1964-09-01,2.0,0.0,,,,,0.4127,2.1415,7.277,-9.4488,1.5595,,-2.3077
1964-10-01,0.0,-7.6923,,,,,2.9947,-3.8286,2.8446,-5.8696,0.3772,,-0.7874
1964-11-01,-5.8824,8.3333,,,,,-9.008,-0.7583,2.9787,1.1547,-4.6967,,11.1111
1964-12-01,4.1667,-7.6923,,,,,4.7619,0.9551,-8.2645,-2.0548,2.8161,,-9.2857
