date,Total Housing Completions Period %,Single-Family Completions Period %,5+ Unit Completions Period %
1993-01-01,-5.3378,-1.6145,-17.3653
1993-02-01,8.8987,6.9744,25.3623
1993-03-01,-10.5987,-5.7526,-41.6185
1993-04-01,10.0452,8.5453,25.7426
1993-05-01,-8.6349,-8.8097,-7.0866
1993-06-01,7.3807,4.5221,25.4237
1993-07-01,-8.6337,-5.998,-29.0541
1993-08-01,15.9633,13.3891,42.8571
1993-09-01,-7.2785,-3.4133,-34.0
1993-10-01,6.314,2.9608,28.2828
1993-11-01,-0.8828,2.2263,-16.5354
1993-12-01,4.3725,2.4501,28.3019
1994-01-01,-4.7324,-4.0744,-16.1765
1994-02-01,10.1792,10.6187,8.7719
1994-03-01,-7.0953,-8.9316,0.0
1994-04-01,9.3079,10.8158,5.6452
1994-05-01,4.0757,2.7295,12.9771
1994-06-01,-6.5734,-7.4879,6.0811
1994-07-01,-4.1168,1.8277,-42.6752
1994-08-01,5.2303,-1.7949,91.1111
1994-09-01,4.8961,0.7833,27.3256
1994-10-01,-2.546,1.0363,-18.2648
1994-11-01,-0.9434,-2.6496,11.1732
1994-12-01,1.5385,2.8973,-10.5528
1995-01-01,2.6696,1.9625,2.809
1995-02-01,-9.0654,-9.7071,-4.3716
1995-03-01,9.1963,10.7507,5.1429
1995-04-01,-5.0248,-8.1172,11.9565
1995-05-01,-1.1923,-3.2787,11.165
1995-06-01,-6.3348,-2.2599,-25.7642
1995-07-01,8.8567,1.5414,47.6471
1995-08-01,-6.4349,-2.4668,-16.3347
1995-09-01,1.1067,-2.2374,17.619
1995-10-01,4.3784,4.3781,4.4534
1995-11-01,1.8727,2.0019,-3.4884
1995-12-01,-11.7647,-6.5421,-30.5221
1996-01-01,16.8333,11.3,51.4451
1996-02-01,-6.0628,-6.0198,-6.8702
1996-03-01,3.9484,5.4493,-2.0492
1996-04-01,-3.0679,-4.4424,3.7657
1996-05-01,7.2344,8.8235,1.2097
1996-06-01,0.9838,-1.3949,11.5538
1996-07-01,1.1134,1.2378,-2.1429
1996-08-01,1.0323,2.3581,-8.0292
1996-09-01,-6.0627,-4.7782,-11.1111
1996-10-01,0.9427,2.6882,-1.3393
1996-11-01,1.5086,-2.4433,9.5023
1996-12-01,5.2371,5.5456,8.6777
1997-01-01,-7.3974,-4.4068,-12.5475
1997-02-01,12.2004,10.5496,10.4348
1997-03-01,-6.4725,-7.7787,1.1811
1997-04-01,-0.4844,-1.4783,-0.7782
1997-05-01,-2.6426,-1.5887,-2.7451
1997-06-01,-6.0714,-1.704,-24.5968
1997-07-01,-0.1521,-3.6496,16.5775
1997-08-01,1.4471,0.5682,7.7982
1997-09-01,8.2583,8.0979,6.8085
1997-10-01,-3.19,-6.446,13.5458
1997-11-01,1.7192,5.3073,-7.7193
1997-12-01,0.5634,-3.0946,10.2662
1998-01-01,-7.8431,-7.1168,-6.5517
1998-02-01,9.4985,10.7073,0.738
1998-03-01,2.4983,0.3549,8.4249
1998-04-01,1.4218,4.863,-8.4459
1998-05-01,-2.2029,-5.9022,10.7011
1998-06-01,0.1365,4.2115,-12.0
1998-07-01,5.7941,5.1591,11.7424
1998-08-01,-1.9974,-3.5977,1.3559
1998-09-01,-4.5365,0.5937,-23.0769
1998-10-01,0.0,-1.5177,3.4783
1998-11-01,10.4683,7.4486,28.9916
1998-12-01,-10.6608,-9.0837,-18.5668
1999-01-01,11.5841,8.589,19.6
1999-02-01,-8.7555,-3.2284,-25.0836
1999-03-01,14.6676,10.0083,33.9286
1999-04-01,-5.5589,-3.6391,-6.3333
1999-05-01,2.7215,2.439,6.7616
1999-06-01,1.5404,0.6912,-1.0
1999-07-01,-3.0947,-6.331,8.4175
1999-08-01,-2.129,-0.2443,-2.1739
1999-09-01,5.1184,5.4694,2.2222
1999-10-01,-3.0432,-3.2508,-2.4845
1999-11-01,0.1883,3.12,-11.7834
1999-12-01,3.9474,1.5516,14.8014
2000-01-01,-5.1236,-3.5905,-8.1761
2000-02-01,6.5438,5.0713,9.9315
2000-03-01,1.61,-1.0558,13.0841
2000-04-01,-5.5164,-0.3811,-24.7934
2000-05-01,4.472,2.0658,17.5824
2000-06-01,-9.0369,-10.7946,-3.1153
2000-07-01,-2.2876,-0.2521,-7.3955
2000-08-01,5.2174,3.7068,10.4167
2000-09-01,-2.8608,-4.5491,2.5157
2000-10-01,-0.9817,0.0851,-8.2822
2000-11-01,1.7184,4.3367,-8.0268
2000-12-01,-1.1696,0.0,0.3636
2001-01-01,-4.2735,-8.5575,13.4058
2001-02-01,5.4945,6.7736,-0.3195
2001-03-01,-4.2969,-0.4174,-22.1154
2001-04-01,7.0748,4.1073,24.6914
2001-05-01,-4.892,-1.4493,-26.4026
2001-06-01,10.4876,4.8203,45.7399
2001-07-01,-4.3531,-0.7794,-15.0769
2001-08-01,2.086,0.6284,10.5072
2001-09-01,-3.9628,-1.4832,-15.7377
2001-10-01,3.0948,5.7052,-7.393
2001-11-01,-2.7517,-6.8966,17.6471
2001-12-01,8.8746,8.7762,7.1429
2002-01-01,-3.6031,-1.9985,-9.0
2002-02-01,2.3897,3.4743,0.3663
2002-03-01,-6.7026,-3.3577,-20.073
2002-04-01,4.2335,-4.9849,48.8584
2002-05-01,4.9231,8.0286,-13.8037
2002-06-01,-6.8035,-5.7395,-2.1352
2002-07-01,1.6362,-0.4684,12.0
2002-08-01,6.6254,5.0196,9.0909
2002-09-01,-4.7038,-0.5975,-16.9643
2002-10-01,-2.4375,-3.3809,3.2258
2002-11-01,7.3079,8.9425,0.0
2002-12-01,-2.7357,-3.7116,1.0417
2003-01-01,-1.0174,-2.3721,-1.3746
2003-02-01,2.0556,1.8983,11.8467
2003-03-01,-2.9621,-2.7571,-11.215
2003-04-01,1.4652,3.4483,-4.2105
2003-05-01,4.272,2.963,14.652
2003-06-01,-5.3087,-2.5899,-15.9744
2003-07-01,2.3766,5.1699,-13.6882
2003-08-01,-6.5476,-6.6713,-2.2026
2003-09-01,9.4904,6.3205,18.018
2003-10-01,0.5236,4.6709,-12.9771
2003-11-01,-2.0833,-2.7045,0.8772
2003-12-01,1.4184,-0.3475,7.8261
2004-01-01,-0.4079,0.0,5.6452
2004-02-01,0.5266,0.9066,-8.3969
2004-03-01,4.4237,3.0408,17.5
2004-04-01,8.0268,10.3286,-3.9007
2004-05-01,-2.322,-8.5106,35.4244
2004-06-01,-1.9017,1.0631,-14.9864
2004-07-01,1.2924,1.6437,-2.8846
2004-08-01,1.5949,0.5175,11.8812
2004-09-01,-6.0178,-1.3514,-28.3186
2004-10-01,2.3942,0.3914,11.5226
2004-11-01,-4.4046,-4.8733,0.369
2004-12-01,9.2719,13.0464,-12.5
2005-01-01,-1.5096,-3.9879,8.4034
2005-02-01,0.8457,1.1957,-3.876
2005-03-01,-6.3417,-5.2239,-5.6452
2005-04-01,7.8344,6.6929,16.6667
2005-05-01,9.1334,7.6261,11.7216
2005-06-01,-6.5621,-4.0571,-17.0492
2005-07-01,-4.0204,-2.3824,-17.7866
2005-08-01,3.4995,0.6101,22.5962
2005-09-01,-1.5369,-1.0916,1.1765
2005-10-01,2.0812,-0.7971,22.8682
2005-11-01,-2.8033,0.9271,-21.4511
2005-12-01,1.7829,1.7759,-4.4177
2006-01-01,4.8944,0.0602,38.2353
2006-02-01,0.5894,4.7505,-28.2675
2006-03-01,9.6191,9.7015,21.1864
2006-04-01,-7.7506,-9.1052,5.2448
2006-05-01,-8.4017,-7.369,-15.6146
2006-06-01,8.0654,8.266,9.8425
2006-07-01,-5.6585,-5.0517,-8.2437
2006-08-01,-2.9473,-2.4184,-7.4219
2006-09-01,7.1391,3.7794,27.4262
2006-10-01,-4.6246,-6.9254,4.9669
2006-11-01,-1.3034,-2.1809,-4.7319
2006-12-01,-0.2641,-1.0492,7.947
2007-01-01,-3.4958,-0.5302,-11.0429
2007-02-01,-9.989,-12.1919,-2.069
2007-03-01,-1.0366,-0.4552,-4.2254
2007-04-01,-5.1756,-2.7439,-17.6471
2007-05-01,-0.1949,0.1567,-4.4643
2007-06-01,-3.5807,-4.5383,7.0093
2007-07-01,3.5787,-0.9836,28.3843
2007-08-01,-1.4342,2.7318,-15.6463
2007-09-01,-10.3175,-12.5705,-2.8226
2007-10-01,3.6136,4.8848,-0.8299
2007-11-01,-1.0676,-0.8787,-2.9289
2007-12-01,-4.4604,-8.5993,21.1207
2008-01-01,0.2259,-2.6188,1.7794
2008-02-01,-4.2825,-7.3705,9.7902
2008-03-01,-6.2009,-2.7957,-11.7834
2008-04-01,-14.477,-12.0575,-29.9639
2008-05-01,11.7417,10.566,26.2887
2008-06-01,0.0,-3.2992,10.6122
2008-07-01,-4.8161,-2.2353,-14.0221
2008-08-01,-6.4397,-14.3201,23.176
2008-09-01,14.061,15.1685,6.2718
2008-10-01,-9.0517,-8.6585,-3.9344
2008-11-01,1.9905,0.6676,2.7304
2008-12-01,-5.1115,-9.0186,4.3189
2009-01-01,-23.8981,-17.4927,-35.0318
2009-02-01,5.4054,-5.477,32.8431
2009-03-01,2.442,1.8692,2.952
2009-04-01,0.8343,-2.3853,7.1685
2009-05-01,-3.3097,-7.5188,5.3512
2009-06-01,-2.5672,3.0488,-11.4286
2009-07-01,0.0,-1.3807,1.4337
2009-08-01,-0.6274,3.4,-8.4806
2009-09-01,-8.9646,-6.9632,-14.2857
2009-10-01,3.4674,9.3555,-7.6577
2009-11-01,13.1367,7.7947,27.8049
2009-12-01,-11.1374,-13.0511,-9.9237
2010-01-01,-8.1333,-9.1278,-5.9322
2010-02-01,-2.7576,1.7857,-7.6577
2010-03-01,-5.2239,7.6754,-33.6585
2010-04-01,16.063,13.2383,25.0
2010-05-01,-4.749,-6.8345,5.2941
2010-06-01,27.3504,32.0463,12.8492
2010-07-01,-36.0179,-31.2865,-53.4653
2010-08-01,3.4965,0.6383,20.2128
2010-09-01,6.7568,2.3256,21.2389
2010-10-01,-4.2722,-1.0331,-13.1387
2010-11-01,-8.7603,-9.8121,-3.3613
2010-12-01,2.3551,5.0926,-13.0435
2011-01-01,-7.9646,-6.8282,-9.0
2011-02-01,18.2692,13.7116,38.4615
2011-03-01,-3.9024,-23.4927,70.6349
2011-04-01,-7.1066,17.663,-53.9535
2011-05-01,0.0,2.3095,2.0202
2011-06-01,5.4645,2.2573,8.9109
2011-07-01,9.4991,7.7263,25.4545
2011-08-01,-3.1546,-1.8443,-5.0725
2011-09-01,-1.7915,-11.0647,27.4809
2011-10-01,-6.136,2.8169,-26.9461
2011-11-01,3.3569,5.4795,-3.2787
2011-12-01,4.2735,0.0,17.7966
2012-01-01,-10.6557,-15.1515,4.3165
2012-02-01,2.9358,7.398,-6.2069
2012-03-01,3.7433,3.0879,0.0
2012-04-01,15.2921,13.8249,27.9412
2012-05-01,-6.7064,-3.8462,-22.9885
2012-06-01,-0.1597,1.4737,-5.2239
2012-07-01,8.16,-1.6598,51.9685
2012-08-01,1.1834,3.7975,-5.1813
2012-09-01,-4.6784,4.065,-26.2295
2012-10-01,11.9632,2.5391,48.1481
2012-11-01,-8.4932,-2.2857,-27.0
2012-12-01,1.3473,2.3392,-1.3699
2013-01-01,5.4653,5.9048,3.4722
2013-02-01,2.1008,3.9568,-3.3557
2013-03-01,11.9342,4.4983,43.75
2013-04-01,-12.7451,-13.245,-12.5604
2013-05-01,-0.5618,4.771,-17.6796
2013-06-01,3.9548,-3.0965,28.1879
2013-07-01,6.5217,8.6466,3.6649
2013-08-01,-2.4235,-1.2111,-4.5455
2013-09-01,1.4379,1.0508,1.0582
2013-10-01,3.2216,4.6794,-3.1414
2013-11-01,4.7441,-0.4967,22.1622
2013-12-01,-7.2706,-6.822,-9.7345
2014-01-01,7.7121,6.6071,11.2745
2014-02-01,4.5346,5.3601,4.8458
2014-03-01,1.9406,0.0,5.4622
2014-04-01,-6.6069,-4.9285,-7.5697
2014-05-01,6.8345,4.0134,10.7759
2014-06-01,-10.2132,-6.5916,-16.7315
2014-07-01,4.875,8.4337,-5.1402
2014-08-01,8.2241,-3.6508,43.3498
2014-09-01,7.3789,5.7661,12.0275
2014-10-01,-5.641,-3.7383,-9.5092
2014-11-01,-6.1957,0.3236,-22.0339
2014-12-01,10.6605,6.4516,25.2174
2015-01-01,-0.1047,-0.303,0.3472
2015-02-01,-9.5388,-8.6626,-15.5709
2015-03-01,-9.5017,-3.9933,-20.9016
2015-04-01,28.169,19.2374,55.4404
2015-05-01,1.0989,-6.8314,21.3333
2015-06-01,-4.9407,-1.092,-12.3626
2015-07-01,2.7027,0.4732,6.5831
2015-08-01,-1.417,3.4537,-9.7059
2015-09-01,6.7762,0.607,20.1954
2015-10-01,-5.2885,-2.7149,-10.2981
2015-11-01,1.5228,0.6202,1.5106
2015-12-01,2.3,9.245,-9.2262
2016-01-01,3.2258,-5.3597,20.6557
2016-02-01,-1.7992,9.389,-23.6413
2016-03-01,-3.2787,-3.5422,2.1352
2016-04-01,-5.7827,-0.2825,-19.8606
2016-05-01,5.8201,2.1246,17.8261
2016-06-01,10.9,4.577,27.6753
2016-07-01,-3.3363,-1.5915,-6.6474
2016-08-01,-1.6791,0.4043,-6.8111
2016-09-01,-1.8027,-0.8054,-6.3123
2016-10-01,3.3816,3.6536,5.3191
2016-11-01,16.2617,3.1332,48.8215
2016-12-01,-11.4952,-2.2785,-27.1493
2017-01-01,-1.8165,2.3316,-10.8696
2017-02-01,6.198,-5.8228,35.1916
2017-03-01,-0.0871,4.8387,-9.5361
2017-04-01,-6.8003,-1.9231,-19.3732
2017-05-01,9.4481,4.5752,26.8551
2017-06-01,5.641,1.25,15.3203
2017-07-01,-5.0971,3.8272,-21.4976
2017-08-01,-5.6266,-11.2961,10.1538
2017-09-01,0.542,6.4343,-12.8492
2017-10-01,7.4573,2.6448,19.8718
