date,CPI - New York Period %,CPI - Philadelphia Period %,CPI - Boston Period %,CPI - Chicago Period %,CPI - Detroit Period %,CPI - Dallas Period %,CPI - Houston Period %,CPI - Atlanta Period %,CPI - Miami Period %,CPI - San Francisco Period %,CPI - Seattle Period %,CPI - West Region (Size Class A) Period %
1955-04-01,0.0,0.0,0.3817,0.0,0.0,,,,,,,
1955-05-01,-0.369,0.0,,0.3663,0.3623,,-0.3906,,,,0.3876,
1955-06-01,0.0,0.0,,0.0,0.0,,,0.3717,,0.0,,
1955-07-01,0.0,0.0,0.3802,0.7299,0.0,,,,,,,
1955-08-01,0.0,0.0,,0.3623,0.0,,0.0,,,,0.0,
1955-09-01,0.7407,-0.3584,,0.361,0.361,,,1.1111,,0.0,,
1955-10-01,-0.3676,0.0,0.3788,0.0,-0.3597,,,,,,,
1955-11-01,0.369,-0.3597,,0.0,0.0,,1.1765,,,,0.7722,
1955-12-01,-0.7353,0.0,,-0.3597,0.0,,,0.0,,0.0,,
1956-01-01,0.3704,0.0,0.3774,-0.361,-0.361,,,,,,,
1956-02-01,0.0,0.0,,0.0,0.3623,,0.0,,,,-1.1494,
1956-03-01,0.0,0.722,,-0.3623,0.361,,,-0.3663,,0.8032,,
1956-04-01,0.0,0.3584,0.3759,0.3636,0.3597,,,,,,,
1956-05-01,0.738,0.0,,0.3623,0.3584,,0.0,,,,0.7752,
1956-06-01,0.3663,0.7143,,0.722,0.7143,,,1.1029,,1.1952,,
1956-07-01,0.7299,1.0638,2.2472,1.0753,1.4184,,,,,,,
1956-08-01,0.0,0.0,,-0.7092,-0.6993,,1.1628,,,,1.5385,
1956-09-01,0.7246,0.3509,,0.3571,0.0,,,0.7273,,0.7874,,
1956-10-01,0.3597,0.0,1.4652,0.7117,0.3521,,,,,,,
1956-11-01,0.0,-0.3497,,0.0,0.3509,,1.5326,,,,1.1364,
1956-12-01,0.0,0.3509,,0.0,0.0,,,0.361,,2.3437,,
1957-01-01,0.0,0.3497,-0.361,0.0,0.0,,,,,,,
1957-02-01,0.3584,0.6969,,0.3534,0.3497,,0.7547,,,,1.4981,
1957-03-01,0.0,0.0,,0.0,0.0,,,1.0791,,0.3817,,
1957-04-01,0.7143,0.0,1.087,0.3521,0.3484,,,,,,,
1957-05-01,0.3546,0.0,,0.3509,0.6944,,0.3745,,,,0.738,
1957-06-01,0.3534,0.346,,0.3497,0.3448,,,0.3559,,0.3802,,
1957-07-01,0.7042,0.6897,1.4337,1.0453,0.3436,,,,,,,
1957-08-01,0.0,0.6849,,0.0,0.0,,0.7463,,,,0.7326,
1957-09-01,-0.3497,0.0,,0.3448,0.0,,,1.0638,,0.7576,,
1957-10-01,0.3509,0.0,0.0,0.3436,-0.3425,,,,,,,
