date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
1977-04-01,-8.29,-4.37,2.65,-23.49,-14.93,-4.09,-7.36,-10.71
1977-05-01,4.18,3.17,2.59,8.73,13.83,3.84,3.5,1.83
1977-06-01,-3.96,-5.25,-7.56,2.07,-7.01,-1.85,-4.81,-3.39
1977-07-01,8.72,4.39,10.0,23.6,9.05,-2.51,10.79,16.53
1977-08-01,-1.85,-0.55,-4.96,-4.93,0.92,-6.22,3.33,-6.74
1977-09-01,-3.51,2.29,6.09,-23.97,-21.0,-0.69,-4.3,2.66
1977-10-01,4.77,0.81,-3.28,24.15,27.17,9.68,4.99,-6.67
1977-11-01,0.0,0.81,15.25,-6.86,-10.0,2.94,-4.75,9.52
1977-12-01,4.9,2.07,8.09,14.25,-8.59,-7.96,10.6,12.86
1978-01-01,-19.79,-17.84,-29.25,-23.23,-31.49,-13.08,-20.63,-20.06
1978-02-01,1.16,-1.75,0.0,11.76,-27.42,11.48,-2.27,5.02
1978-03-01,16.92,15.71,20.19,19.8,86.67,-2.52,27.33,7.46
1978-04-01,8.12,6.16,8.8,13.81,48.81,11.97,3.08,0.89
1978-05-01,-5.55,-0.59,-30.88,-13.05,-21.6,-2.94,-2.99,-4.76
1978-06-01,-0.24,-5.17,56.38,4.23,4.59,2.59,-3.54,0.93
1978-07-01,1.06,2.03,-7.48,0.81,4.88,0.63,-1.18,3.49
1978-08-01,-4.59,-2.33,-5.88,-10.87,-7.91,-12.13,-2.51,0.0
1978-09-01,-1.3,-2.53,-14.06,6.32,19.7,-4.52,0.74,-9.22
1978-10-01,0.56,-0.36,20.0,-1.27,-16.46,5.74,3.29,0.0
1978-11-01,5.7,10.19,9.09,-8.6,-6.06,26.89,-1.06,3.91
1978-12-01,-2.39,-4.26,-15.97,8.94,23.12,-23.98,-9.19,21.24
1979-01-01,-20.25,-23.97,-9.09,-11.45,-0.87,-42.05,-3.55,-33.02
1979-02-01,-6.75,-5.23,-15.45,-8.54,-7.05,-8.02,-11.04,1.39
1979-03-01,21.51,25.67,29.03,8.0,-14.22,68.35,24.5,10.96
1979-04-01,-5.36,-2.65,-1.67,-15.31,-2.76,1.09,-15.99,6.58
1979-05-01,7.32,-0.78,5.93,38.19,-6.25,15.09,13.62,-1.93
1979-06-01,1.97,3.05,-1.6,0.0,7.27,-8.67,6.83,1.77
1979-07-01,-8.0,-9.42,13.01,-9.49,-5.65,-7.95,-6.63,-11.03
1979-08-01,1.02,2.6,6.47,-5.13,8.38,4.18,-0.52,-1.52
1979-09-01,3.04,-2.86,-18.24,28.5,-24.31,1.34,0.13,20.31
1979-10-01,-8.24,-5.81,5.79,-17.02,31.39,-22.16,-1.3,-18.35
1979-11-01,-9.34,-14.48,-17.19,6.22,23.89,-17.63,-9.07,-17.75
1979-12-01,-1.71,6.17,1.89,-18.87,-32.74,27.57,-8.67,10.93
1980-01-01,-10.48,-7.48,5.56,-23.26,7.33,-35.81,-0.79,-12.81
