date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1981-11-01,7.3034,2.2989,3.3939,-11.6505,-3.7543
1981-12-01,19.6335,-3.9326,-2.9308,-21.978,-2.4823
1982-01-01,-19.4748,-3.2164,-5.7971,25.3521,0.3636
1982-02-01,-0.8152,-0.7553,3.4615,3.3708,-1.087
1982-03-01,2.4658,2.2831,3.7175,-5.4348,-1.8315
1982-04-01,-9.3583,4.4643,1.5532,8.046,-1.4925
1982-05-01,13.2743,-1.2821,1.7647,-11.7021,-2.2727
1982-06-01,-3.6458,0.0,-1.8497,0.0,-2.3256
1982-07-01,1.3514,2.3088,1.8846,-1.2048,-1.1905
1982-08-01,8.5333,-1.1283,0.0,-13.4146,-0.8032
1982-09-01,18.1818,-3.281,-7.9769,-5.6338,0.0
1982-10-01,-0.2079,2.8024,0.3769,-7.4627,-0.4049
1982-11-01,15.4167,5.4519,9.8874,-12.9032,0.4065
1982-12-01,-5.9567,-2.449,-1.2528,7.4074,2.4291
1983-01-01,11.7083,2.5105,0.5767,-6.8966,2.3715
1983-02-01,-3.4364,0.4082,-0.4587,3.7037,0.7722
1983-03-01,6.0498,-1.7615,-0.6912,-3.5714,0.3831
1983-04-01,7.047,3.0345,1.6241,-5.5556,1.145
1983-05-01,4.0752,-0.2677,1.3699,-3.9216,3.0189
1983-06-01,-1.9578,1.745,2.3649,8.1633,3.2967
1983-07-01,-6.9124,-0.7916,-1.8702,9.434,2.1277
1983-08-01,-5.6106,2.1277,2.3543,6.8966,2.4306
1983-09-01,6.2937,5.4688,7.1194,0.0,1.3559
1983-10-01,3.9474,-6.2963,-8.4867,-9.6774,0.3344
1983-11-01,1.8987,0.0,2.1229,3.5714,2.3333
1983-12-01,20.0311,0.0,0.3282,-18.9655,-1.9544
1984-01-01,-10.608,0.3953,0.5453,12.766,0.3322
1984-02-01,0.7236,3.937,2.3861,-3.7736,-0.3311
1984-03-01,-7.9023,-1.0101,3.4958,19.6078,6.6445
1984-04-01,-0.312,1.5306,-1.5353,-1.6393,1.8692
1984-05-01,-3.7559,2.2613,5.9252,11.6667,2.1407
1984-06-01,2.439,-1.1057,-3.0422,-1.4925,1.497
1984-07-01,-1.746,0.2484,-1.7206,1.5152,0.295
1984-08-01,-8.4006,1.6109,-0.206,11.9403,1.1765
1984-09-01,16.7549,-0.8537,4.5408,-13.3333,-0.5814
1984-10-01,3.7764,-1.476,-5.5281,-7.6923,0.8772
1984-11-01,-13.1004,2.9963,5.9561,20.0,1.4493
1984-12-01,0.0,-5.0909,-5.0296,1.3889,0.8571
1985-01-01,8.0402,5.364,2.0768,-8.2192,0.5666
1985-02-01,5.7364,-0.6061,-2.1363,-2.9851,0.8451
1985-03-01,-1.6129,2.6829,4.8857,-1.5385,-0.5587
1985-04-01,-7.6006,1.6627,3.7661,7.8125,0.2809
1985-05-01,9.3548,-6.4252,-6.3037,-7.2464,0.2801
1985-06-01,6.4897,7.7403,1.5291,-6.25,-1.1173
1985-07-01,6.0942,-4.8667,-0.2008,-6.6667,-0.8475
1985-08-01,-5.2219,1.4616,-0.2012,3.5714,-0.8547
1985-09-01,-6.6116,1.6807,3.4274,8.6207,0.2874
1985-10-01,-3.3923,0.8264,0.0975,1.5873,1.1461
1985-11-01,11.9084,2.1077,1.3632,-7.8125,0.0
1985-12-01,-1.6371,0.8028,1.9212,-1.6949,-1.983
1986-01-01,1.6644,-1.479,-1.885,-1.7241,1.7341
1986-02-01,-0.6821,3.5797,2.4015,5.2632,-0.2841
1986-03-01,20.8791,-1.1148,1.3133,-21.6667,-4.2735
1986-04-01,-2.6136,4.2841,2.1296,0.0,0.0
1986-05-01,-7.9347,-0.4324,3.8985,10.6383,0.2976
1986-06-01,-7.7313,-0.9772,-3.2286,9.6154,0.8902
1986-07-01,-4.1209,3.1798,5.3201,7.0175,2.6471
1986-08-01,-11.0315,-2.763,-3.0822,14.7541,0.2865
1986-09-01,22.8663,3.8251,0.7067,-17.1429,1.1429
1986-10-01,-12.3198,1.4737,0.7895,12.069,0.8475
1986-11-01,5.6801,-2.4896,-1.1314,-6.1538,-0.8403
1986-12-01,10.8911,1.0638,4.6655,-9.8361,0.8475
1987-01-01,-9.5663,3.6842,2.6913,9.0909,-0.2801
1987-02-01,3.244,-3.3503,-0.6552,3.3333,0.2809
1987-03-01,-2.5956,3.3613,-1.4839,-3.2258,0.2801
1987-04-01,3.0856,-1.9309,-1.1715,0.0,0.0
1987-05-01,-11.4286,8.7047,7.1973,11.6667,-1.3966
1987-06-01,-2.1505,3.9085,7.267,2.9851,1.4164
1987-07-01,3.2967,-3.6697,-5.3019,-2.8986,0.5587
1987-08-01,-0.152,1.7143,-0.0778,1.4925,0.5556
1987-09-01,1.3699,-0.2809,3.8911,0.0,0.0
1987-10-01,-2.4024,0.0,-5.7678,0.0,-0.2762
1987-11-01,-3.8462,9.8592,10.6518,2.9412,0.554
1987-12-01,-4.8,-4.4444,-2.1552,8.5714,0.8264
1988-01-01,-1.6807,6.4401,6.0206,-1.3158,0.2732
1988-02-01,13.3333,-6.8067,-4.7091,-12.0,-2.7248
1988-03-01,0.905,-1.8034,-3.1977,0.0,4.2017
1988-04-01,4.4843,1.9284,1.3514,-3.0303,-1.8817
1988-05-01,-2.1459,-0.9009,-1.1111,3.125,0.5479
1988-06-01,4.8246,1.3636,2.2472,-6.0606,-0.545
1988-07-01,-5.2999,5.8296,3.5165,6.4516,0.0
1988-08-01,1.3255,-6.7797,-0.4954,0.0,0.0
1988-09-01,2.1802,6.0,1.4936,-1.5152,-0.5479
1988-10-01,2.1337,-3.1732,-3.7842,-7.6923,-2.2039
1988-11-01,-12.5348,-2.2143,0.0,20.0,3.0986
1988-12-01,4.7771,9.6014,7.5747,-5.5556,0.5464
1989-01-01,9.2705,-6.6116,-6.1611,-8.8235,0.2717
1989-02-01,-13.491,4.4248,4.8341,20.9677,1.084
1989-03-01,-8.8424,4.2373,2.5465,9.3333,0.5362
1989-04-01,7.231,-5.122,-2.8859,-9.7561,0.2667
1989-05-01,7.8947,1.9709,0.2764,-4.0541,0.266
1989-06-01,-2.1341,3.1933,5.858,1.4085,-0.5305
1989-07-01,13.8629,-5.5375,-8.6589,-15.2778,-1.6
1989-08-01,-4.6512,5.9483,13.0435,4.918,-1.355
1989-09-01,-8.3214,-2.3596,-4.7289,10.9375,0.5495
1989-10-01,0.939,2.5,-2.184,-2.8169,-0.2732
1989-11-01,6.0465,1.626,2.4357,-4.3478,0.0
1989-12-01,-7.8947,0.16,1.9155,6.0606,0.0
1990-01-01,-1.5873,-0.1597,-1.685,0.0,0.0
1990-02-01,-4.6774,1.52,-0.5274,8.5714,0.0
1990-03-01,-2.8765,-5.9102,-4.175,2.6316,-0.8219
1990-04-01,-5.5749,8.8777,6.0858,6.4103,0.0
1990-05-01,-1.476,-3.8462,-1.8253,-1.2048,-1.105
1990-06-01,2.0599,0.0,-0.1328,-3.6585,-1.3966
1990-07-01,-0.5505,-5.04,-0.3989,-1.2658,-0.8499
1990-08-01,-2.583,-0.2527,-3.4045,5.1282,-1.7143
1990-09-01,-6.0606,-4.5608,-1.7968,2.439,-1.4535
1990-10-01,-6.25,6.1947,7.6707,3.5714,-1.1799
1990-11-01,6.0215,-0.9167,-6.3399,-5.7471,-2.0896
