date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
1998-08-01,0.7,1.08,0.29
1998-09-01,0.16,0.03,-0.33
1998-10-01,0.59,0.8,0.39
1998-11-01,0.62,0.46,0.13
1998-12-01,1.22,0.8,0.38
1999-01-01,-0.33,1.3,-0.54
1999-02-01,1.13,1.23,0.04
1999-03-01,-0.42,0.53,-0.29
1999-04-01,1.22,0.72,0.08
1999-05-01,0.56,1.1,-0.18
1999-06-01,0.48,0.8,0.03
1999-07-01,0.37,0.65,0.13
1999-08-01,0.23,0.3,0.25
1999-09-01,0.41,0.48,0.24
1999-10-01,0.41,0.19,0.23
1999-11-01,0.71,1.0,0.21
1999-12-01,0.33,0.39,0.39
2000-01-01,0.64,1.18,0.72
2000-02-01,-0.33,0.22,0.07
2000-03-01,1.2,1.07,0.75
2000-04-01,-0.25,-1.09,-0.26
2000-05-01,-0.35,-0.73,0.12
2000-06-01,0.12,-0.14,0.45
2000-07-01,0.24,0.27,0.12
2000-08-01,0.03,-0.81,-0.1
2000-09-01,0.16,-0.49,0.07
2000-10-01,0.1,-0.61,0.53
2000-11-01,0.04,-0.91,-0.5
2000-12-01,-0.37,-1.07,-0.65
2001-01-01,0.47,-1.81,0.57
2001-02-01,0.25,-0.13,0.49
2001-03-01,0.31,-0.81,-0.13
2001-04-01,-0.26,-0.35,-0.07
2001-05-01,0.07,0.28,0.02
2001-06-01,-0.13,0.59,-0.38
2001-07-01,0.07,0.26,0.47
2001-08-01,-0.26,0.03,-1.17
2001-09-01,-0.21,0.14,-0.51
2001-10-01,-0.13,0.38,-0.16
2001-11-01,-0.29,0.17,-0.35
2001-12-01,0.01,0.25,-0.25
2002-01-01,-0.15,-0.43,0.03
2002-02-01,-0.13,1.16,-1.41
2002-03-01,-0.16,0.49,-0.69
2002-04-01,-0.67,-0.25,-0.99
2002-05-01,-0.39,0.31,-0.58
2002-06-01,0.25,-0.08,0.47
2002-07-01,-0.19,0.26,-0.18
2002-08-01,0.19,0.79,0.17
2002-09-01,0.01,0.28,-0.43
2002-10-01,-0.19,0.14,-0.65
2002-11-01,0.36,2.0,-0.33
2002-12-01,-0.19,-1.2,-0.32
2003-01-01,0.06,0.12,0.0
2003-02-01,-0.55,-0.01,-0.67
2003-03-01,-0.19,0.42,-0.68
2003-04-01,0.53,0.95,0.12
2003-05-01,0.25,0.01,-0.51
2003-06-01,0.25,0.95,-0.98
2003-07-01,0.18,-0.02,-0.56
2003-08-01,0.37,0.42,-0.14
2003-09-01,0.34,1.19,-0.08
2003-10-01,0.01,0.52,-0.44
2003-11-01,0.18,0.46,-0.23
2003-12-01,0.46,0.56,0.15
2004-01-01,0.31,0.36,-0.17
2004-02-01,-0.15,0.1,-0.62
2004-03-01,0.72,0.97,1.0
2004-04-01,0.2,0.06,-0.08
2004-05-01,0.68,1.67,0.87
2004-06-01,0.2,0.06,0.07
2004-07-01,0.22,0.82,-0.08
2004-08-01,0.37,0.53,-0.37
2004-09-01,0.37,0.77,1.19
2004-10-01,0.68,0.87,0.49
2004-11-01,0.2,0.57,-0.31
2004-12-01,0.37,0.42,0.2
2005-01-01,-0.31,0.51,-0.44
2005-02-01,0.82,0.63,0.69
2005-03-01,0.39,0.48,-0.51
2005-04-01,1.18,0.57,0.45
2005-05-01,0.39,0.54,-0.26
2005-06-01,0.53,0.61,0.22
2005-07-01,0.27,0.62,0.12
2005-08-01,0.56,0.01,1.22
2005-09-01,0.28,0.29,0.03
2005-10-01,0.61,0.54,1.21
2005-11-01,0.86,1.33,1.22
2005-12-01,0.12,1.01,0.4
2006-01-01,0.9,1.25,0.5
2006-02-01,0.83,0.46,0.49
2006-03-01,0.33,0.5,0.79
2006-04-01,0.48,0.41,1.38
2006-05-01,-0.17,-0.53,-0.22
2006-06-01,-0.18,-0.87,-0.23
2006-07-01,0.17,-0.05,1.36
2006-08-01,0.1,0.19,-1.15
2006-09-01,-0.03,0.24,0.2
2006-10-01,-0.47,-0.57,-0.15
2006-11-01,-0.21,-0.97,-0.03
2006-12-01,0.25,-0.65,0.25
2007-01-01,0.52,-0.71,1.79
2007-02-01,-1.28,-0.53,-0.25
2007-03-01,1.05,-0.42,1.21
2007-04-01,-0.26,-0.66,-0.49
2007-05-01,-0.17,-0.18,0.2
